canonical_name,synonyms,category,evidence_level,evidence_summary,dose_min,dose_max,dose_unit,dose_notes,perimenopause_specific,primary_claim,ssri_interaction,thyroid_interaction,bleeding_risk,liver_caution,hormone_active,pregnancy_safe,regulatory_risk,research_gaps
Lycopene,Lycopene; Tomato extract; as Lycopene,Performance,Some,Some RCTs for prostate health (primarily male evidence). Female data limited — some cardiovascular and skin benefits. Largely safe at dietary supplement doses.,7,75,mg,Fat-soluble; cooked tomato products have higher lycopene bioavailability than raw; may weakly reduce anticoagulant effects.,No,Antioxidant activity,No,No,No,No,No,Yes,Low,Female-specific perimenopause RCTs are almost entirely absent.
Omega-3 EPA,EPA; Eicosapentaenoic acid; Fish oil EPA; as Omega-3 EPA; Icosapentaenoic acid,Fatty Acid,Strong,"Multiple RCTs and meta-analyses support EPA for cardiovascular health, triglyceride reduction, and anti-inflammatory effects. Some evidence for mood and depression, particularly EPA-dominant formulas. Perimenopause relevance for cardiovascular risk and mood.",500,4000,mg,Enteric coating reduces fishy burps; take with food; anticoagulant effect at doses above 3g/day — caution with warfarin; oxidation important — choose quality assured products; prescription-strength EPA (Vascepa/Icosapent ethyl) distinct from supplement EPA.,Yes,Cardiovascular health,Possible,No,Yes,No,No,Yes,Low,Optimal EPA:DHA ratio for perimenopausal mood and cardiovascular outcomes not established.
Omega-3 DHA,DHA; Docosahexaenoic acid; Fish oil DHA; as Omega-3 DHA; Algal DHA,Fatty Acid,Strong,"Strong RCT evidence for cognitive development, eye health, and cardiovascular benefits. Algal DHA available as vegan source. Important for brain health and myelin maintenance. Perimenopause cognitive benefit evidence emerging.",200,3000,mg,Vegan algal DHA is equivalent bioavailability to fish oil DHA; enteric coating reduces fishy burps; anticoagulant effect at high doses; DHA more important for cognitive applications; EPA more important for mood/cardiovascular.,Yes,Cognitive support,Possible,No,Yes,No,No,Yes,Low,Perimenopause-specific RCTs for cognitive outcomes comparing EPA vs DHA-dominant formulas are limited.
GLA,Gamma-linolenic acid; Evening Primrose Oil GLA; Borage oil GLA; as GLA,Fatty Acid,Some,"RCTs show benefit for PMS, breast pain (mastalgia), and skin hydration. Some evidence for hot flush reduction in perimenopause from evening primrose oil RCTs. Evidence less consistent than omega-3.",240,3000,mg,Source matters — borage oil has higher GLA content than evening primrose; take with food; may mildly inhibit platelet aggregation at high doses; beneficial effects typically require 6-8 weeks supplementation.,Yes,Breast pain relief,No,No,Possible,No,Yes,Yes,Low,Head-to-head RCTs comparing GLA sources (EPO vs borage) for perimenopause outcomes are limited.
ALA Omega-3,Alpha-linolenic acid; ALA; Flaxseed oil ALA; as ALA; as Alpha-Linolenic Acid,Fatty Acid,Some,"Plant-based omega-3 precursor; conversion to EPA/DHA is poor (~5-10% to EPA, <1% to DHA). RCTs show cardiovascular benefits but weaker than preformed EPA/DHA. Important for vegans.",1100,3000,mg,Very poor conversion to long-chain EPA/DHA; recommended as adjunct to EPA/DHA rather than replacement; flaxseed oil is richest ALA source; does not substitute for preformed EPA/DHA for cognitive or mood applications.,No,Cardiovascular support,No,No,No,No,No,Yes,Low,Conversion efficiency variation between individuals not well characterised; insufficient substitute for EPA/DHA in perimenopause.
Phosphatidylserine,PS; Soy-derived PS; Sunflower PS; as Phosphatidylserine,Fatty Acid,Strong,"Multiple RCTs show cognitive benefits, particularly for memory, attention, and mood. Evidence for HPA axis modulation and cortisol reduction. Perimenopause relevance for cognitive decline prevention and stress response. Originally bovine-derived; now soy or sunflower.",100,400,mg,Soy and sunflower-derived PS widely used; bovine-derived PS no longer used due to BSE; take with food; some evidence for improved cognitive outcomes in mild cognitive impairment; typically 100-400mg/day in RCTs.,Yes,Cognitive function,No,No,No,No,No,Yes,Low,Long-term RCTs specifically in perimenopausal women for cognitive and mood outcomes are lacking.
Phosphatidylcholine,PC; Lecithin PC; as Phosphatidylcholine; Alpha-GPC precursor,Fatty Acid,Some,"Important for cell membrane integrity, liver health, and acetylcholine synthesis. RCTs show benefit for non-alcoholic fatty liver disease. Cognitive applications less well studied than phosphatidylserine.",250,900,mg,Found in lecithin (soy or sunflower); component of Alpha-GPC; choline conversion important for methylation; take with food.,No,Liver health,No,No,No,No,No,Yes,Low,Perimenopause-specific cognitive RCTs are lacking.
Lecithin,Soy lecithin; Sunflower lecithin; as Lecithin,Fatty Acid,Limited,Contains phosphatidylcholine and other phospholipids. Limited standalone RCT evidence but provides dietary choline. Used in emulsification. Some evidence for cognitive and liver benefits.,1200,7200,mg,Sunflower lecithin preferred over soy for those with soy sensitivity; contains approximately 15-25% phosphatidylcholine; quality and standardisation varies between products.,No,Choline source,No,No,No,No,No,Yes,Low,Insufficient standalone RCTs to assess clinical impact separate from constituent phospholipids.
L-Theanine,L-theanine; Suntheanine; as L-Theanine; gamma-glutamylethylamide,Amino Acid,Strong,"Multiple RCTs demonstrate L-theanine promotes relaxation without sedation, reduces anxiety, improves sleep quality, and enhances cognitive performance especially when combined with caffeine. Perimenopause relevance for anxiety, sleep, and cognitive fog.",100,400,mg,Often combined with caffeine in a 2:1 ratio (theanine:caffeine) for cognitive enhancement; well tolerated; no known toxicity; Suntheanine is patented L-form; effects within 30-60 minutes for acute anxiety relief.,Yes,Relaxation and focus,No,No,No,No,No,Yes,Low,Long-term RCTs specifically examining perimenopause anxiety and cognitive outcomes are limited.
5-HTP,5-hydroxytryptophan; L-5-HTP; as 5-HTP; Griffonia simplicifolia extract,Amino Acid,Some,"RCTs show benefits for depression, anxiety, sleep, and appetite regulation through serotonin precursor action. Perimenopause relevance for mood, sleep, and hot flush frequency. Serotonin system implicated in vasomotor symptoms.",50,300,mg,CONTRAINDICATED with SSRIs and MAOIs due to serotonin syndrome risk; take 30 minutes before bed for sleep; some evidence for hot flush reduction; start at 50mg to assess tolerance; European natural medicine guidance supports use.,Yes,Mood support,Yes,No,No,No,No,Unknown,Medium,Serotonin syndrome risk with concurrent SSRI use requires strong prescriber guidance; perimenopause-specific long-term RCTs lacking.
Tryptophan,L-tryptophan; as L-Tryptophan; as Tryptophan,Amino Acid,Some,Serotonin and melatonin precursor. RCTs show benefit for sleep onset and mood. Less potent than 5-HTP but may be better tolerated. EMS outbreak history from contaminated batch in 1989 — high-quality sourcing critical.,500,2000,mg,CAUTION with SSRIs — potential serotonin syndrome; take at night with carbohydrates to improve CNS uptake; EMS (eosinophilia-myalgia syndrome) historically linked to contaminated batches; current regulations require pharmaceutical-grade sourcing.,Yes,Sleep support,Yes,No,No,No,No,Unknown,Medium,Perimenopause-specific RCTs for hot flush and sleep outcomes limited; manufacturing quality concerns persist historically.
GABA,Gamma-aminobutyric acid; as GABA; PharmaGABA,Amino Acid,Limited,"Oral GABA has poor blood-brain barrier penetration, limiting CNS efficacy of oral supplementation. PharmaGABA (naturally fermented form) shows some limited sleep and relaxation evidence. Mechanism of action for oral GABA in brain is debated.",100,750,mg,Blood-brain barrier penetration is disputed; PharmaGABA may work via gut-brain axis or peripheral mechanisms; generally well tolerated; L-theanine and glycine may be more evidence-based alternatives for sleep/anxiety.,No,Relaxation,No,No,No,No,No,Yes,Low,Fundamental questions about oral bioavailability and CNS penetration remain unresolved.
Glycine,Glycine; as Glycine; amino acid glycine,Amino Acid,Some,RCTs show glycine (3g before bed) improves subjective sleep quality and reduces fatigue. Anti-inflammatory and collagen synthesis roles. Generally very well tolerated and inexpensive.,1500,5000,mg,3g before bed for sleep evidence; component of collagen (one-third of collagen amino acid content); well tolerated; can be added to hot drinks easily; synergistic with magnesium glycinate formulations.,Yes,Sleep quality,No,No,No,No,No,Yes,Low,Perimenopause-specific RCTs for sleep and cognitive outcomes are lacking.
NAC,N-acetyl cysteine; N-acetylcysteine; as NAC,Amino Acid,Strong,"Strong evidence for liver protection (paracetamol overdose treatment, standard of care). RCTs show benefits for PCOS, OCD, addiction, and respiratory conditions. Antioxidant via glutathione synthesis. Post-2022: MHRA and FDA reviewed supplement status.",600,2400,mg,Post-2022: FDA and MHRA have scrutinised NAC's supplement status as it is also a licensed medicine (used for paracetamol overdose); UK regulatory status in flux; separate from food supplements to medicines review; avoid in active peptic ulcer.,No,Antioxidant/liver,No,No,No,No,No,Unknown,High,Post-2022: regulatory status under review by FDA and MHRA; may not remain freely available as supplement; perimenopause-specific RCTs lacking.
L-Carnitine,Carnitine; L-carnitine; as L-Carnitine; carnitine tartrate,Amino Acid,Some,"RCTs support L-carnitine for energy metabolism, fatigue reduction, and fertility (particularly in women with PCOS). Evidence for cognitive benefits modest. More relevant in deficiency or high-demand states.",500,3000,mg,L-carnitine and acetyl-L-carnitine have different tissue distributions; carnitine tartrate commonly used in supplements for stability; vegetarians/vegans have lower baseline carnitine and may benefit more.,No,Energy metabolism,No,No,No,No,No,Yes,Low,Perimenopause-specific RCTs examining fatigue and energy outcomes are lacking.
Acetyl-L-Carnitine,ALCAR; Acetyl-L-carnitine; as Acetyl-L-Carnitine; ALC,Amino Acid,Some,"RCTs show cognitive benefits, particularly in mild cognitive impairment and depression in older adults. Crosses blood-brain barrier more effectively than L-carnitine. Neuroprotective properties.",500,2000,mg,Preferred for cognitive applications due to superior blood-brain barrier penetration; may support acetylcholine synthesis; mild interactions possible with anticoagulants (case reports).,No,Cognitive support,No,No,Possible,No,No,Yes,Low,Perimenopause-specific cognitive RCTs are absent.
Taurine,Taurine; as Taurine; 2-aminoethanesulfonic acid,Amino Acid,Some,"RCTs show cardiovascular, blood pressure, and exercise performance benefits. Some evidence for anxiety and sleep. Generally very well tolerated. Widely present in energy drinks at doses studied in RCTs.",500,3000,mg,Well tolerated; no established upper tolerable limit; may augment effects of GABA-ergic sedatives; widely available and inexpensive.,No,Cardiovascular support,No,No,No,No,No,Yes,Low,Perimenopause-specific RCTs are absent; optimal dosing for multiple outcomes not defined.
L-Tyrosine,Tyrosine; L-tyrosine; as L-Tyrosine; N-acetyl-L-tyrosine,Amino Acid,Some,"RCTs show benefit for cognitive performance under stress, sleep deprivation, and cold stress. Thyroid hormone precursor (converted to T3/T4). Relevant to perimenopausal cognitive and stress symptoms.",500,2000,mg,Thyroid hormone precursor — may affect thyroid medication requirements; take on empty stomach for best uptake; N-acetyl tyrosine has variable bioavailability; avoid in phenylketonuria; caution with MAOI and some thyroid medications.,No,Cognitive performance,No,Yes,No,No,No,Yes,Low,Perimenopause-specific RCTs examining cognitive and thyroid interactions are lacking.
L-Lysine,Lysine; L-lysine HCl; as L-Lysine,Amino Acid,Some,RCTs support lysine for herpes simplex virus (cold sore) suppression and calcium absorption. Essential amino acid; component of collagen. Anti-anxiety properties in some limited RCTs.,500,3000,mg,Commonly combined with arginine — high arginine intake may counteract lysine's herpes-suppressing effect; well tolerated; component of collagen cross-linking.,No,Collagen synthesis,No,No,No,No,No,Yes,Low,Perimenopause-specific RCTs are largely absent.
L-Arginine,Arginine; L-arginine HCl; as L-Arginine,Amino Acid,Some,"RCTs support arginine for cardiovascular function via nitric oxide synthesis, erectile dysfunction (male evidence primarily), and exercise performance. Some female sexual function evidence. May worsen herpes outbreaks.",1000,6000,mg,May worsen herpes simplex outbreaks; take on empty stomach; may interact with blood pressure medications and PDE5 inhibitors; high doses can cause GI upset.,No,Cardiovascular support,No,No,No,No,No,Yes,Low,Female sexual function RCTs in perimenopausal women using arginine are very limited.
L-Glutamine,Glutamine; L-glutamine; as L-Glutamine,Amino Acid,Some,"RCTs support gut integrity (leaky gut), post-surgical recovery, and immune function. Most evidence in clinical settings rather than healthy supplementation. Gut lining support is main evidence-based application.",5000,40000,mg,Take between meals for gut mucosal uptake; very well tolerated; most evidence in clinical/medical nutrition contexts rather than general wellness.,No,Gut integrity,No,No,No,No,No,Yes,Low,General wellness applications in healthy perimenopausal women not supported by strong RCT data.
Proline,L-proline; as L-Proline,Amino Acid,Limited,Collagen amino acid; limited standalone RCT evidence. Important for wound healing and skin structure. Usually supplied via collagen hydrolysate rather than standalone supplementation.,500,5000,mg,Usually provided through collagen peptide supplements; isolated supplementation is uncommon in clinical practice; well tolerated.,No,Collagen synthesis,No,No,No,No,No,Yes,Low,No meaningful standalone RCTs; evidence derived from collagen peptide studies.
Hydroxyproline,Hydroxyl-L-proline; as Hydroxyproline; trans-4-Hydroxy-L-proline,Amino Acid,Limited,Collagen-specific amino acid; urinary hydroxyproline used as collagen breakdown marker. Minimal standalone supplementation evidence; provided through collagen hydrolysate.,500,3000,mg,No standalone supplement evidence; present in collagen hydrolysates; hydroxyproline-containing dipeptides may mediate collagen synthesis signalling.,No,Collagen marker,No,No,No,No,No,Yes,Low,No meaningful standalone RCT evidence; effects derived from collagen peptide research.
Collagen Type I,Bovine collagen Type I; Marine collagen Type I; Hydrolysed collagen Type I; as Collagen Type I; collagen peptides,Structural Protein,Some,"RCTs show benefit for skin elasticity, hydration, and wrinkle reduction. Some evidence for nail and hair strength. Perimenopause relevance: oestrogen decline accelerates collagen loss. Hydrolysed forms show better absorption. Post-2022 data growing.",2500,15000,mg,Hydrolysed collagen peptides (3-10kDa) have superior absorption; marine collagen (fish-derived) Type I most abundant; take with vitamin C to support collagen synthesis; evidence primarily for skin — bone/joint evidence mainly from Type II.,Yes,Skin elasticity,No,No,No,No,No,Yes,Low,Post-2022: growing evidence base but optimal dose/source/peptide size for perimenopausal women not established.
Marine Collagen,Fish collagen; Marine collagen peptides; Peptan; as Marine Collagen,Structural Protein,Some,"Predominantly Type I collagen from fish skin/scales. RCTs show skin, nail, and hair benefits. Sustainable and highly bioavailable source. Well tolerated; avoid in fish allergies.",2500,10000,mg,Fish allergy contraindication; typically bovine collagen is alternative; Peptan is well-studied branded marine collagen; take with vitamin C; hydrolysed forms best absorbed.,Yes,Skin health,No,No,No,No,No,Yes,Low,Head-to-head comparison with bovine collagen for perimenopause-specific outcomes not available.
Bovine Collagen,Beef collagen; Bovine collagen peptides; as Bovine Collagen; collagen types I and III,Structural Protein,Some,Contains both Type I and Type III collagen; RCTs support skin joint and bone benefits. Well tolerated. Avoid in beef allergies. Most widely studied collagen type in joint health.,5000,15000,mg,Avoid in beef allergies; contains both Type I (skin) and Type III (skin blood vessels); pasture-raised/grass-fed sourcing is quality marker; take with vitamin C.,Yes,Skin and joint health,No,No,No,No,No,Yes,Low,Long-term RCTs (>12 months) for bone outcomes specifically in perimenopausal women needed.
Collagen Type II,Chicken sternum collagen; as Collagen Type II; UC-II; undenatured Type II collagen,Structural Protein,Some,UC-II (undenatured Type II collagen) RCTs show joint cartilage and osteoarthritis benefits via oral tolerance mechanism at very low doses. Different mechanism and dose than hydrolysed collagen. Limited perimenopause bone-specific data.,10,40,mg,UC-II mechanism operates at very low dose (40mg/day); mechanism is immune tolerance not amino acid supply — do not increase dose expecting greater benefit; different application from Type I/III hydrolysed collagen.,No,Joint health,No,No,No,No,No,Yes,Low,Perimenopause joint health RCTs specifically are limited.
Collagen Type III,as Collagen Type III; bovine skin collagen III,Structural Protein,Limited,"Type III collagen found in skin, blood vessels, and organs. Limited standalone evidence; usually provided alongside Type I in bovine collagen. Important for skin suppleness and vascular integrity.",2500,10000,mg,Rarely supplemented in isolation; present in bovine collagen supplements; evidence attributed to Type I + III combination.,No,Skin structure,No,No,No,No,No,Yes,Low,No standalone RCTs; effects attributed to mixed collagen type supplements.
Hyaluronic Acid,HA; Hyaluronan; Sodium hyaluronate; as Hyaluronic Acid,Structural Protein,Some,Oral HA RCTs show skin hydration joint lubrication and eye dryness improvements. Perimenopause relevance for skin changes and joint discomfort. Topical evidence stronger than oral but oral evidence growing.,80,200,mg,Oral bioavailability historically questioned but recent RCTs support effectiveness; lower molecular weight forms may have superior bioavailability; take with food; topical application has stronger evidence than oral for skin outcomes.,Yes,Skin hydration,No,No,No,No,No,Yes,Low,Optimal molecular weight and dose for oral perimenopause outcomes (skin joints vaginal dryness) not established.
Elastin Peptides,Elastin hydrolysate; as Elastin Peptides; BioElastin,Structural Protein,Limited,Very limited RCT evidence. Small studies suggest skin elasticity and joint benefits. Emerging area with limited independent research.,100,500,mg,Very limited clinical data; usually combined with collagen peptides in anti-ageing formulas; most evidence from manufacturer-funded studies.,No,Skin elasticity,No,No,No,No,No,Yes,Low,Almost no independent robust RCT evidence exists.
Black Cohosh,Actaea racemosa; Cimicifuga racemosa; as Black Cohosh; Remifemin,Botanical,Strong,"Most studied botanical for menopause symptoms. Multiple RCTs and meta-analyses show significant reduction in hot flushes, night sweats, and mood symptoms. Evidence specifically in perimenopausal and menopausal women. Mechanism not clearly oestrogenic.",20,160,mg,Remifemin (Schaper & Brümmer) is best-studied standardised extract; standardised to triterpene glycosides; effects take 4-8 weeks; maximum 6-month continuous use recommended due to rare hepatotoxicity risk; discontinue if jaundice occurs.,Yes,Hot flush reduction,No,No,No,Yes,No,Unknown,Low,Long-term safety data (>6 months) and safety in oestrogen-sensitive cancers remain uncertain.
Red Clover Isoflavones,Trifolium pratense; as Red Clover; Promensil; Biochanin A; Formononetin; Daidzein; Genistein,Botanical,Some,Multiple RCTs show modest reduction in hot flush frequency; Promensil (standardised red clover isoflavone) has most evidence. Weaker effect than HRT. Phytoestrogenic activity — caution in oestrogen-sensitive conditions.,40,160,mg,"Phytoestrogenic — avoid in oestrogen-sensitive cancers (breast, endometrial) or with oestrogen-dependent conditions; effects take 8-12 weeks; Promensil and Menoflavon are best-studied standardised extracts; interacts with tamoxifen.",Yes,Hot flush reduction,No,No,No,No,Yes,No,Medium,Safety in women with oestrogen-sensitive cancer or family history not established; long-term endometrial safety data limited.
Soy Isoflavones,Daidzein; Genistein; Glycitein; Soy isoflavones; as Soy Isoflavones; equol,Botanical,Some,"RCTs show modest hot flush reduction, particularly in women who are equol producers (~30-50% of Western women). Variable response based on gut microbiome equol conversion. Bone density evidence exists.",40,100,mg,Equol production (from daidzein) determines clinical response — non-producers benefit less; phytoestrogenic — caution in oestrogen-sensitive conditions; Asian dietary evidence does not directly translate to supplementation in Western populations.,Yes,Hot flush reduction,No,No,No,No,Yes,No,Medium,Individual response variation based on equol-producer status makes universal dosing challenging.
Sage Leaf,Salvia officinalis; as Sage Leaf; garden sage; Salvia extract,Botanical,Some,RCTs show significant reduction in hot flush and night sweat frequency in perimenopausal women. Small number of good-quality trials. Fresh sage extract and standardised dried sage show similar effects. Well tolerated at studied doses.,300,800,mg,Fresh sage leaf extract (Menosan/Menoforce) has most evidence; standardised preparations preferred; raw sage essential oil contains thujone — avoid essential oil internally; therapeutic doses of sage may mildly affect thyroid hormones; effects within 4 weeks.,Yes,Hot flush reduction,No,Possible,No,No,No,Unknown,Low,Limited number of independent RCTs; optimal dose and long-term safety not established.
Ashwagandha KSM-66,Withania somnifera; KSM-66; as Ashwagandha; Indian ginseng; Sensoril; Winter cherry,Botanical,Strong,"Multiple RCTs with KSM-66 extract show reduced cortisol, anxiety, thyroid support, and sexual function improvement in women. Growing perimenopause-specific evidence for stress, sleep, and sexual function.",240,600,mg,KSM-66 (5% withanolides) and Sensoril (10% withanolides) are best-studied standardised extracts; KSM-66 more commonly studied for sexual function and energy; Sensoril for stress/anxiety; effects within 8 weeks; avoid in autoimmune conditions; may affect thyroid — monitor TSH in hypothyroid patients.,Yes,Stress reduction,No,Yes,No,No,Yes,No,Low,Post-2022: new RCTs specifically in perimenopausal women for sexual function and sleep published; MHRA monitoring autoimmune and thyroid interactions.
Maca Root,Lepidium meyenii; as Maca; Peruvian ginseng; gelatinised maca; black maca; red maca,Botanical,Some,"RCTs specifically in perimenopausal and menopausal women show improvements in sexual function, energy, mood, and reduction in anxiety and depression. Hormonal mechanism debated — may be adaptogenic rather than directly oestrogenic.",1500,3000,mg,"Gelatinised maca preferred for digestibility; black, red, and yellow maca have different compositions; most RCTs use 2-3.5g/day; effects take 6-12 weeks; generally well tolerated; no clear oestrogenic activity in RCTs despite traditional use in hormonal conditions.",Yes,Sexual function,No,No,No,No,Possible,Yes,Low,Standardisation of maca preparations varies widely; optimal maca type and dose for specific perimenopausal outcomes not established.
Shatavari,Asparagus racemosus; as Shatavari,Botanical,Limited,"Ayurvedic herb with limited but promising RCT evidence for menopausal symptoms, galactagogue activity, and female reproductive health. Phytoestrogenic activity studied. Limited Western clinical trial data.",250,1000,mg,Phytoestrogenic activity — caution in oestrogen-sensitive conditions; limited standardisation of extracts; most evidence from Indian Ayurvedic medicine research with variable quality.,Yes,Hormonal balance,No,No,No,No,Yes,Unknown,Medium,Very limited independent Western RCT data; standardisation of preparations poorly defined.
Dong Quai,Angelica sinensis; as Dong Quai; Female ginseng; Chinese angelica,Botanical,Limited,Limited RCT evidence for menopausal symptoms; some traditional Chinese medicine trial evidence. Contains furanocoumarins - photosensitivity and anticoagulant interaction risk. Oestrogenic activity debated.,100,600,mg,Contains furanocoumarins - photosensitivity risk; anticoagulant interaction (warfarin aspirin); oestrogen-sensitive conditions contraindicated; quality and standardisation of extracts varies significantly.,Yes,Hormonal support,No,No,Yes,No,Yes,No,Medium,Reliable independent RCT evidence very limited; safety profile poorly characterised in modern populations.
Chasteberry,Vitex agnus-castus; as Chasteberry; Chaste tree berry; Agnus castus,Botanical,Strong,Multiple RCTs and meta-analysis support chasteberry for PMS and cycle irregularity. Acts on dopamine and prolactin pathways. Perimenopause relevance for cycle regulation and mood. Not oestrogenic.,20,40,mg,Acts on dopamine D2 receptors to reduce prolactin; Agnucaston and Mastodynon are most-studied standardised preparations; not suitable with dopamine-affecting medications; contraindicated in prolactin-dependent tumours.,Yes,PMS/cycle support,No,No,No,No,No,No,Low,Limited long-term RCTs in perimenopausal women specifically; interaction with hormone therapies not fully characterised.
Evening Primrose Oil,EPO; Oenothera biennis; as Evening Primrose Oil; GLA source; efamol,Botanical,Some,"RCTs show modest benefit for hot flushes, PMS, and breast pain. Contains GLA as active component. Evidence for hot flush reduction weaker than black cohosh but well tolerated.",500,3000,mg,Source of GLA; effects take 6-8 weeks; may mildly inhibit platelet aggregation at high doses; anticoagulant caution; perimenopause hot flush evidence from small RCTs.,Yes,Hot flush support,No,No,Possible,No,No,Yes,Low,Hot flush evidence limited to small RCTs; larger definitive trials lacking.
Valerian Root,Valeriana officinalis; as Valerian Root; valerian extract; Valdispert,Botanical,Some,Multiple RCTs and a Cochrane review show modest benefit for sleep onset and sleep quality. Evidence for anxiety and menopausal sleep specifically also exists. Effect size modest. Well tolerated.,300,600,mg,"Takes 2-4 weeks for full effect; standardised to valerenic acid (0.8%); may cause mild sedation — caution when driving; avoid with alcohol, benzodiazepines, or other sedatives; discontinue 2 weeks before surgery.",Yes,Sleep improvement,No,No,No,Yes,No,Yes,Low,Optimal dose and long-term effectiveness in perimenopausal women specifically not established.
Passionflower,Passiflora incarnata; as Passionflower; maypop,Botanical,Some,RCTs show anxiolytic and sleep benefits. Comparable to low-dose benzodiazepines in some small RCTs. Generally well tolerated. Limited perimenopause-specific data.,200,400,mg,May cause mild sedation — avoid with sedative medications; generally well tolerated; extract standardisation varies; effects within days for anxiety,No,Anxiety relief,No,No,No,No,No,Yes,Low,Perimenopause-specific RCTs are lacking; most evidence from general anxiety and insomnia populations.
Rhodiola Rosea,Rhodiola rosea; as Rhodiola; Golden root; Arctic root; SHR-5,Botanical,Some,"Multiple RCTs show stress adaptation, mental fatigue reduction, and burnout improvement. Adaptogenic mechanism. Perimenopause relevance for fatigue and stress resilience. SHR-5 is most-studied extract.",200,600,mg,Standardised to rosavins and salidrosides (3%:1% ratio); SHR-5 extract has most evidence; stimulating — take in morning; may interact with CYP3A4 substrates; effects within 3-5 days for acute fatigue.,Yes,Fatigue reduction,No,No,No,No,No,Yes,Low,Perimenopause-specific long-term RCTs are limited; optimal dose and duration not established.
Holy Basil,Ocimum tenuiflorum; Ocimum sanctum; as Holy Basil; Tulsi; Ocimum,Botanical,Limited,"Limited RCT evidence for stress, blood glucose, and anti-inflammatory effects. Traditional Ayurvedic adaptogen. Limited evidence in Western populations.",300,2000,mg,Standardisation of extracts varies widely; blood glucose lowering — caution in diabetics on medication; limited Western quality RCT data.,No,Stress adaptation,No,No,No,No,No,Yes,Low,Very limited independent Western RCT evidence for perimenopausal applications.
Ginkgo Biloba,Ginkgo biloba extract; EGb761; LI1370; as Ginkgo Biloba,Botanical,Strong,Multiple RCTs and meta-analyses show cognitive benefit in age-related cognitive decline and dementia. Some evidence for sexual dysfunction and anxiety. Antiplatelet effect. EGb761 is most-studied standardised extract.,120,240,mg,"EGb761 (24% flavonoids, 6% terpene lactones) is most evidence-based extract; strong anticoagulant/antiplatelet effect — avoid with warfarin, aspirin, clopidogrel; potential drug interactions with CYP substrates; stop 2 weeks before surgery.",Yes,Cognitive support,No,No,Yes,No,No,Unknown,Medium,Perimenopause-specific RCTs for cognitive fog are limited; anticoagulant interaction profile requires careful prescriber guidance.
Gotu Kola,Centella asiatica; as Gotu Kola; Indian pennywort; Brahmi (sometimes confused with Bacopa),Botanical,Some,"RCTs show benefit for venous insufficiency, wound healing, cognitive function, and anxiety. Some perimenopause cognitive and skin evidence. Anti-fibrotic and collagen-stimulating properties.",30,500,mg,Standardised to asiaticosides; separate from Brahmi (Bacopa monnieri) which is different plant; liver enzyme elevation reported at high doses — liver caution; take with food.,No,Cognitive support,No,No,No,Yes,No,Yes,Low,Perimenopause-specific RCTs are limited; hepatotoxicity risk at high doses needs monitoring.
Lion's Mane Mushroom,Hericium erinaceus; as Lion's Mane; yamabushitake; Lion's Mane extract,Botanical,Some,RCTs show cognitive benefits for mild cognitive impairment and anxiety/depression. Stimulates nerve growth factor (NGF). Perimenopause cognitive relevance. Evidence base growing post-2022.,250,3000,mg,Post-2022: new RCTs published supporting cognitive and mood benefits; standardised extracts (>30% beta-glucans) preferred; full-spectrum fruiting body vs mycelium have different active compound profiles; generally well tolerated; some mushroom allergy cases.,Yes,Cognitive support,No,No,No,No,No,Yes,Low,Post-2022: evidence base growing; perimenopause-specific long-term RCTs still needed.
Reishi Mushroom,Ganoderma lucidum; as Reishi; Lingzhi; Ganoderma,Botanical,Limited,"Limited RCT evidence for immune modulation, sleep, and fatigue. Some anti-androgenic activity relevant to PCOS. Liver toxicity reported at high doses. Well-studied preclinically but limited robust human RCTs.",1500,5000,mg,Triterpene and beta-glucan content varies widely between products; full-spectrum extract preferred; liver toxicity reported at high doses and with certain preparations — liver caution; anti-androgenic properties potentially relevant to PCOS.,No,Immune support,No,No,No,Yes,Yes,Unknown,Medium,Robust independent human RCTs for perimenopausal outcomes are absent; hepatotoxicity monitoring required.
St John's Wort,Hypericum perforatum; as St John's Wort; SJW; LI160; WS5570,Botanical,Strong,"Strong RCT evidence for mild to moderate depression comparable to SSRIs. Multiple RCTs in menopausal women for mood and vasomotor symptoms. Significant CYP3A4/P-gp drug interactions (reduces efficacy of contraceptives, antivirals, cyclosporine, warfarin).",300,900,mg,"Licensed herbal medicine in UK (MHRA THR); strong drug interactions via CYP3A4 induction — reduces oral contraceptive, antiretroviral, warfarin, cyclosporine, and many other drug levels significantly; DO NOT combine with SSRIs (serotonin syndrome); photosensitivity at high doses.",Yes,Depression/mood,Yes,No,No,No,No,Unknown,Low,Drug interaction profile is well characterised but patient awareness remains poor; combination with SSRIs is dangerous.
Lavender,Lavandula angustifolia; Silexan; as Lavender; lavender oil,Botanical,Some,"Silexan (80mg oral lavender oil) has multiple RCTs showing benefit for generalised anxiety disorder, sleep, and mixed anxiety/depression. MHRA licensed as Kalms Lavender. Perimenopause anxiety and sleep relevance.",80,160,mg,"Silexan (Kalms Lavender, Lasea) is MHRA-licensed anxiolytic in UK; 80mg/day dose used in RCTs; aromatotherapy evidence separate and weaker; do not use orally with other sedatives; anticoagulant interaction possible at high doses.",Yes,Anxiety relief,No,No,Possible,No,No,Yes,Low,Perimenopause-specific long-term RCTs beyond anxiety and sleep outcomes are lacking.
